trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
208,False,"{'a': 0.7335999999999953, 'e': 0.7330803244117684}",30,0,-119.3993064813765,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
209,False,"{'a': 0.7327999999999952, 'e': 0.73198152822831264}",30,0,-106.16985632681603,"{0: 19, 1: 3, 2: 5, 3: 3, 4: 0}",0
210,False,"{'a': 0.7319999999999952, 'e': 0.73088437900360415}",20,0,-46.31888177424938,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
211,False,"{'a': 0.7311999999999952, 'e': 0.72978887426905681}",25,0,-90.11944138658586,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
212,False,"{'a': 0.7303999999999952, 'e': 0.72869501155978444}",25,0,-132.2395201561018,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
213,False,"{'a': 0.7295999999999951, 'e': 0.72760278841459547}",20,0,-56.69953058994611,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
214,False,"{'a': 0.7287999999999951, 'e': 0.72651220237598735}",20,10,-3.9806756495527322,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
215,False,"{'a': 0.7279999999999951, 'e': 0.72542325099014116}",25,0,-96.92090043411217,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",1
216,False,"{'a': 0.7271999999999951, 'e': 0.72433593180691569}",20,0,-122.50546387086061,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
217,False,"{'a': 0.726399999999995, 'e': 0.72325024237984248}",25,13,-33.28785835294042,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
218,False,"{'a': 0.725599999999995, 'e': 0.72216618026611956}",20,0,-172.71842241144026,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
219,False,"{'a': 0.724799999999995, 'e': 0.72108374302660705}",20,0,-31.428115864672744,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
220,False,"{'a': 0.723999999999995, 'e': 0.72000292822582046}",20,0,-77.88527582363331,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
221,False,"{'a': 0.723199999999995, 'e': 0.71892373343192617}",20,0,-88.94900192859872,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
222,False,"{'a': 0.7223999999999949, 'e': 0.71784615621673542}",30,0,-165.56819637183645,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
223,False,"{'a': 0.7215999999999949, 'e': 0.71677019415569898}",20,0,-64.88830037331866,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
224,False,"{'a': 0.7207999999999949, 'e': 0.71569584482790172}",25,6,-70.51283081883213,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
225,False,"{'a': 0.7199999999999949, 'e': 0.71462310581605737}",20,0,-88.71015358944908,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
226,False,"{'a': 0.7191999999999948, 'e': 0.71355197470650245}",20,0,-81.56643490288587,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
227,False,"{'a': 0.7183999999999948, 'e': 0.71248244908919178}",20,0,-92.80237728695163,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
228,False,"{'a': 0.7175999999999948, 'e': 0.71141452655769211}",20,0,-45.52966436284074,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
229,False,"{'a': 0.7167999999999948, 'e': 0.71034820470917726}",25,0,-22.52280666347161,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
230,False,"{'a': 0.7159999999999948, 'e': 0.70928348114442274}",20,0,-53.28494624034815,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
231,False,"{'a': 0.7151999999999947, 'e': 0.70822035346779999}",20,0,24.671382898519315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
232,False,"{'a': 0.7143999999999947, 'e': 0.70715881928727131}",25,0,-92.90440477019526,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
233,False,"{'a': 0.7135999999999947, 'e': 0.70609887621438439}",20,0,-59.65582644446225,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
